,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,86.93382465837556,77.35562310030394,64.79949077021006,70.52303429165224,79.38477169024465,62.61631079184685,13.066175341624442,92.43978720954286,76.31811213493347
breast_cancer,95.6140350877193,97.14285714285714,95.77464788732394,96.45390070921985,95.56174254831313,90.72320103372488,4.385964912280704,99.67245332459875,3.4024038314819336
compas,99.37629937629939,99.19484702093398,99.35483870967742,99.27477840451249,99.37365264766981,98.72776522241324,0.6237006237006182,99.988045310234,7.577376127243042
fico,70.45889101338432,70.44491525423729,66.23505976095618,68.27515400410678,70.2958387040075,40.75316673538436,29.541108986615683,78.0222400837825,3.1343729496002197
mushroom,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,7.536947965621948
spambase,95.54831704668838,95.32467532467533,94.1025641025641,94.70967741935485,95.35636679704476,90.87304042483625,4.45168295331162,98.60543724950504,5.9398579597473145
titanic,78.77094972067039,74.32432432432432,74.32432432432432,74.32432432432432,78.11454311454311,56.229086229086235,21.22905027932961,87.27155727155727,2.087785243988037
telco,81.12136266855926,67.31391585760518,55.76407506702413,60.997067448680355,73.0075201589947,49.06349913509641,18.87863733144074,86.37844566128749,2.206947088241577
heart,88.52459016393442,87.87878787878788,90.625,89.23076923076924,88.41594827586206,76.99801976524022,11.475409836065575,92.02586206896551,0.8064610958099365
loan,95.19906323185012,97.6878612716763,94.58955223880598,96.11374407582939,95.40798366657279,89.91912779087747,4.800936768149889,99.16220782878062,4.315490961074829
magic_gamma,85.69926393270242,86.2878787878788,92.60162601626017,89.33333333333333,82.83355110336818,68.11403156202552,14.300736067297581,90.0586466802168,17.039845943450928
german,79.0,72.97297297297297,45.76271186440678,56.25,69.33525664142324,45.41725002408129,20.999999999999996,82.18535881716554,1.3024568557739258
