,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,86.15077537233226,76.26182965299685,61.670918367346935,68.19464033850494,77.7919809228039,60.01686452837151,13.849224627667745,91.90085842223644,32.20170974731445
breast_cancer,97.36842105263158,98.59154929577466,97.22222222222221,97.9020979020979,97.42063492063492,94.38975339262832,2.631578947368418,99.76851851851852,4.073177814483643
compas,99.16839916839916,99.07692307692308,99.07692307692308,99.07692307692308,99.16015132408576,98.32030264817149,0.8316008316008316,99.89911727616645,6.271089315414429
fico,72.27533460803059,72.92576419213974,66.8,69.72860125260961,72.04468864468865,44.39089348542471,27.724665391969406,80.37380952380954,3.1295998096466064
mushroom,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,5.051358938217163
spambase,95.98262757871878,96.045197740113,93.66391184573003,94.83960948396096,95.57747563612666,91.57090677355139,4.017372421281218,98.36660841059668,7.371179103851318
titanic,77.09497206703911,75.0,60.86956521739131,67.2,74.07114624505928,50.53602582799718,22.9050279329609,83.01712779973649,0.6590621471405029
telco,82.18594748048261,70.84745762711864,55.88235294117647,62.4813153961136,73.78658709860755,51.63147144190011,17.814052519517386,86.15373685706166,140.1564211845398
heart,86.88524590163934,82.05128205128204,96.96969696969697,88.88888888888889,85.98484848484848,74.68648417873217,13.11475409836066,90.96320346320346,0.5992488861083984
loan,98.24355971896955,97.95539033457248,99.2467043314501,98.59681945743685,97.92056578801606,96.26441484560337,1.756440281030447,99.72596829394857,3.0707812309265137
magic_gamma,86.80336487907466,86.9172932330827,93.75506893755069,90.20678891923527,83.8730501638426,70.5431848756411,13.196635120925338,92.574347448165,9.577672004699707
german,72.0,57.692307692307686,25.0,34.883720930232556,58.57142857142856,23.359392871314263,28.000000000000004,72.46428571428571,1.2113621234893799
