,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,83.32565637954859,71.14210985178727,51.941438574156585,60.04415011037527,72.621872666277,50.81488757965925,16.674343620451403,88.97536052196568,186.00237488746643
breast_cancer,96.49122807017544,97.1830985915493,97.1830985915493,97.1830985915493,96.2659679004258,92.53193580085161,3.508771929824561,99.67245332459875,4.239227056503296
compas,98.54469854469855,97.16535433070867,99.51612903225806,98.32669322709162,98.66450437032101,97.06116943837705,1.4553014553014498,99.95139732685297,48.724382162094116
fico,69.50286806883366,69.10229645093946,65.93625498007968,67.48216106014272,69.36518631356925,38.836823169859514,30.497131931166344,75.40513497480666,31.44666600227356
mushroom,99.87692307692308,99.76331360946745,100.0,99.88151658767772,99.87212276214834,99.75377911127042,0.12307692307692575,99.99347719901824,43.064433097839355
spambase,82.41042345276874,88.51351351351352,67.17948717948717,76.38483965014578,80.3882369984065,64.30269873781253,17.589576547231268,91.42329421990439,9.159796953201294
titanic,81.00558659217877,77.02702702702703,77.02702702702703,77.02702702702703,80.41827541827541,60.83655083655084,18.99441340782123,86.09395109395109,10.093499898910522
telco,81.40525195173882,67.61904761904762,57.10455764075068,61.9186046511628,73.62949889759541,50.04432815013753,18.594748048261177,85.655413168818,41.47838997840881
heart,85.24590163934425,87.09677419354838,84.375,85.71428571428571,85.29094827586206,70.50596119186784,14.754098360655743,92.78017241379311,1.8515779972076416
loan,88.64168618266979,88.30715532286213,94.40298507462687,91.25338142470694,86.66690134234489,75.45181471481158,11.358313817330213,96.53208016521168,3.7750320434570312
magic_gamma,78.54889589905363,80.64876957494407,87.92682926829268,84.13068844807468,74.65537891986062,51.68720518886646,21.451104100946374,83.7420150987224,10.031382083892822
german,76.0,64.86486486486487,40.67796610169492,50.0,65.72905397283327,36.94651641685444,24.0,75.81440076932323,7.330549955368042
