,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,86.97988638108399,78.3529411764706,63.59007001909611,70.2037947997189,79.00264326531496,62.54163059633887,13.020113618916017,91.6470265776837,61.25879621505737
breast_cancer,93.85964912280701,93.24324324324324,97.1830985915493,95.17241379310344,92.77759580740256,86.88882312695651,6.140350877192979,92.77759580740256,4.895350933074951
compas,99.23769923769925,99.19224555735056,99.03225806451613,99.11218724778047,99.21236232508916,98.44440546619275,0.7623007623007605,99.21236232508916,5.77744722366333
fico,69.74187380497132,70.14115092290987,64.34262948207171,67.11688311688312,69.53344709397703,39.31714079326928,30.25812619502868,76.42097052964613,5.453512907028198
mushroom,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,3.8430919647216797
spambase,92.50814332247556,93.4959349593496,88.46153846153845,90.9090909090909,91.97088222511951,84.6398599186371,7.491856677524433,96.58288666763242,7.749921083450317
titanic,77.09497206703911,73.91304347826086,68.91891891891892,71.32867132867133,75.88803088803088,52.386409712794716,22.9050279329609,74.89060489060489,4.778661012649536
telco,80.34066713981547,67.26618705035972,50.134048257372655,57.45007680491552,70.67513223679444,45.841506847291875,19.65933286018453,84.11023528315754,7.464428186416626
heart,77.04918032786885,84.61538461538461,68.75,75.86206896551724,77.47844827586206,55.49776477171912,22.95081967213115,90.40948275862068,3.6293461322784424
loan,97.42388758782201,96.8978102189781,99.06716417910447,97.97047970479706,96.86062611470948,94.48938993867382,2.576112412177989,98.48634187552803,3.90391206741333
magic_gamma,83.22818086225027,83.34553440702783,92.5609756097561,87.71186440677965,79.35340447154472,62.37605760845095,16.771819137749734,85.07733860820751,4.311693906784058
german,68.5,46.42857142857143,44.06779661016949,45.21739130434783,61.395600432744324,23.148748220126507,31.499999999999993,70.7597066955163,5.979742050170898
