,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,81.94380469829572,72.02247191011236,40.880102040816325,52.156224572823426,67.9223563793566,44.617192232767664,18.05619530170428,85.33839711314253,1.0793588161468506
breast_cancer,90.35087719298247,92.95774647887323,91.66666666666666,92.3076923076923,89.88095238095238,79.38217753940708,9.649122807017541,97.8505291005291,0.037322044372558594
compas,98.6139986139986,97.2972972972973,99.6923076923077,98.48024316109422,98.71122320302648,97.2309835835176,1.3860013860013898,99.64186633039093,0.2797279357910156
fico,71.84512428298278,72.45901639344262,66.3,69.24281984334203,71.61153846153847,43.523941762465455,28.154875717017212,78.29139194139194,0.2371230125427246
mushroom,94.89230769230768,97.14285714285714,92.87410926365796,94.9605343047966,94.96834454242924,89.88121942266199,5.107692307692313,96.91135561804741,0.4794156551361084
spambase,82.73615635179154,86.17021276595744,66.94214876033058,75.34883720930232,79.97645072425131,63.56318266271752,17.263843648208464,88.17426464054027,0.0994260311126709
titanic,77.6536312849162,73.77049180327869,65.21739130434783,69.23076923076923,75.33596837944664,52.033431872551404,22.3463687150838,82.167325428195,0.034294843673706055
telco,78.49538679914833,64.85355648535564,41.44385026737968,50.57096247960848,66.66395411919707,39.212285092744644,21.504613200851665,81.7701309772921,0.14269304275512695
heart,75.40983606557377,76.47058823529412,78.78787878787878,77.61194029850746,75.1082251082251,50.38028898850895,24.590163934426236,82.95454545454545,0.027616024017333984
loan,96.37002341920375,97.34848484848484,96.7984934086629,97.07271010387157,96.23206404179275,92.29879669163577,3.629976580796257,99.14233906467732,0.0992429256439209
magic_gamma,78.91692954784438,80.99850968703429,88.15896188158962,84.42718446601943,75.02118497666925,52.427867719793575,21.083070452155628,83.899251039852,0.5732648372650146
german,70.0,50.0,33.33333333333333,40.0,59.523809523809526,21.82178902359924,30.000000000000004,70.59523809523809,0.0379488468170166
