,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,70.99646860125902,44.610169491525426,83.76830044557607,58.217208582172084,75.35238170801668,43.57820169003784,29.00353139874098,75.86813529623454,361.86068296432495
breast_cancer,96.49122807017544,95.8904109589041,98.59154929577466,97.22222222222221,95.80740255486407,92.52853920667758,3.508771929824561,99.60694398951851,360.0560607910156
compas,98.8911988911989,98.08917197452229,99.35483870967742,98.71794871794873,98.94837925763336,97.74745261596554,1.1088011088011052,99.59001293458238,360.1108250617981
fico,67.97323135755258,65.15426497277676,71.51394422310757,68.18613485280152,68.10991328802439,36.24259417417032,32.02676864244742,73.73364995898758,360.1333692073822
mushroom,98.46153846153847,97.11981566820278,100.0,98.53886616014027,98.40153452685422,96.96131302025806,1.538461538461533,98.41344243097208,360.12390899658203
spambase,87.62214983713355,85.0253807106599,85.8974358974359,85.45918367346938,87.3931623931624,74.68757122884857,12.377850162866455,92.44772804094839,360.0779149532318
titanic,78.2122905027933,76.92307692307693,67.56756756756756,71.94244604316546,76.64092664092664,54.560799770693556,21.78770949720671,86.44144144144144,360.0290160179138
telco,79.06316536550744,64.8854961832061,45.57640750670242,53.54330708661418,68.34804931319677,41.61231078161437,20.936834634492552,79.67862059685115,360.11346888542175
heart,86.88524590163934,90.0,84.375,87.09677419354838,87.01508620689656,73.95052723482932,13.11475409836066,90.30172413793103,360.05669808387756
loan,93.32552693208432,99.7920997920998,89.55223880597015,94.3952802359882,94.61888669858256,86.97966411935401,6.674473067915687,96.085609687412,360.0828058719635
magic_gamma,76.57728706624606,79.02330743618202,86.82926829268293,82.74259151656014,72.32088414634146,47.05349580623399,23.422712933753942,75.60034964188928,360.18245792388916
german,69.0,40.0,10.16949152542373,16.216216216216218,51.89325640100974,6.556068731497019,31.000000000000007,46.53203510037264,360.08152294158936
