,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
adult,85.75157377552587,81.48873653281098,52.95989815404201,64.19753086419753,74.56776777390486,57.817195483504,14.24842622447413,91.14906692296456,779.3512251377106
breast_cancer,97.36842105263158,95.94594594594594,100.0,97.93103448275862,96.51162790697674,94.47329926514414,2.631578947368418,99.6069439895185,3.650674819946289
compas,98.05959805959806,95.96273291925466,99.67741935483872,97.78481012658227,98.25912280014111,96.11448831093811,1.9404019404019368,99.9449300356681,1022.5052778720856
fico,70.45889101338432,70.3157894736842,66.53386454183267,68.37256908904811,70.30737344738692,40.7539961983362,29.541108986615683,77.3305674361378,33.40014433860779
mushroom,99.75384615384615,99.88109393579072,99.644128113879,99.7624703087886,99.75812543801368,99.50734547683858,0.2461538461538515,99.9940839712026,205.31614017486572
spambase,93.81107491856677,97.43589743589743,87.6923076923077,92.3076923076923,92.99869621903521,87.49311139427441,6.1889250814332275,98.36351344825921,76.36933398246765
titanic,79.88826815642457,76.38888888888889,74.32432432432432,75.34246575342466,79.06692406692406,58.38233278278911,20.11173184357542,84.06692406692406,104.95283317565918
telco,79.63094393186657,66.28787878787878,46.91689008042895,54.94505494505495,69.16307824484768,43.33360850242441,20.36905606813343,85.67469231008104,77.33816409111023
heart,90.1639344262295,88.23529411764706,93.75,90.9090909090909,89.97844827586206,80.39121205819147,9.836065573770492,92.94181034482759,7.402299880981445
loan,95.66744730679156,99.8003992015968,93.28358208955224,96.43201542912246,96.48455834037361,91.27008266226278,4.332552693208436,99.47608654839013,13.603612899780273
magic_gamma,80.4416403785489,77.83906554185593,97.52032520325203,86.57524359437026,73.35093641114983,56.92677340079019,19.558359621451103,87.84667779713511,21.226348876953125
german,77.0,74.07407407407408,33.89830508474576,46.51162790697674,64.46688303882678,38.61318221683016,23.0,81.41603558119967,17.056432008743286
