metric,model,vs,n,W,p_one_sided,p_two_sided,wins,ties,losses,psup,delta_mean,delta_median
auc,pairwise,univariate,12,25.0,0.866943359375,0.30126953125,6,0,6,0.5,-0.013622025021358777,-0.002192384516956969
auc,mixed,univariate,12,47.0,0.28466796875,0.5693359375,8,0,4,0.6666666666666666,0.00035463464348512813,0.0014930198321474464
auc,mixed,pairwise,12,55.0,0.07421875,0.1484375,6,3,3,0.625,0.013976659664843905,0.00024252471824509625
f1,pairwise,univariate,12,31.0,0.74072265625,0.5693359375,5,0,7,0.4166666666666667,-0.02096787120080451,-0.0015004988058294755
f1,mixed,univariate,12,43.0,0.3955078125,0.791015625,6,0,6,0.5,0.002247792746175365,0.00024445036544595844
f1,mixed,pairwise,12,51.0,0.130859375,0.26171875,6,3,3,0.625,0.023215663946979877,0.0012476898411262205
balanced_accuracy,pairwise,univariate,12,31.0,0.74072265625,0.5693359375,6,0,6,0.5,-0.015098153713228027,-0.0009716801189354474
balanced_accuracy,mixed,univariate,12,42.0,0.425048828125,0.85009765625,6,0,6,0.5,0.004060954042245842,0.0005985862551572962
balanced_accuracy,mixed,pairwise,12,51.0,0.130859375,0.26171875,6,3,3,0.625,0.01915910775547387,0.0010941266679888595
mcc,pairwise,univariate,12,33.0,0.68896484375,0.67724609375,5,0,7,0.4166666666666667,-0.02648861548215523,-0.0030941545586210817
mcc,mixed,univariate,12,45.0,0.338623046875,0.67724609375,7,0,5,0.5833333333333334,0.008573215170670839,0.004177003472220553
mcc,mixed,pairwise,12,48.0,0.1875,0.375,6,3,3,0.625,0.035061830652826066,0.0022117521103110216
accuracy,pairwise,univariate,12,52.0,0.169677734375,0.33935546875,9,0,3,0.75,-0.007614074195289533,0.004532135987719732
accuracy,mixed,univariate,12,52.0,0.169677734375,0.33935546875,8,0,4,0.6666666666666666,0.006915715926897131,0.0034668471440088
accuracy,mixed,pairwise,12,38.0,0.455078125,0.91015625,5,3,4,0.5416666666666666,0.014529790122186664,0.0
