metric,model,vs,n,W,p_one_sided,p_two_sided,wins,ties,losses,psup,delta_mean,delta_median
auc,pairwise,univariate,12,54.0,0.12451171875,0.2490234375,6,1,5,0.5416666666666666,0.006842757099612258,0.0023500074832383255
auc,mixed,univariate,12,49.0,0.2001953125,0.400390625,6,2,4,0.5833333333333334,0.005219621941978623,0.0022725901182379937
auc,mixed,pairwise,12,19.0,0.9306640625,0.162109375,3,2,7,0.3333333333333333,-0.0016231351576336355,-0.0002722125978723011
f1,pairwise,univariate,12,52.0,0.15966796875,0.3193359375,6,1,5,0.5416666666666666,0.007594915508883924,0.0024666285653352493
f1,mixed,univariate,12,51.0,0.1591796875,0.318359375,6,2,4,0.5833333333333334,0.005509100166275223,0.0017519431214024217
f1,mixed,pairwise,12,28.0,0.7421875,0.56640625,3,3,6,0.375,-0.002085815342608701,-0.0006727145198953677
balanced_accuracy,pairwise,univariate,12,54.0,0.12451171875,0.2490234375,7,1,4,0.625,0.010355644265492209,0.003084612329963543
balanced_accuracy,mixed,univariate,12,54.0,0.1083984375,0.216796875,7,2,3,0.6666666666666666,0.010211617191858618,0.0024141694954534776
balanced_accuracy,mixed,pairwise,12,29.0,0.716796875,0.6171875,3,3,6,0.375,-0.00014402707363359024,-0.0005953361956027581
mcc,pairwise,univariate,12,51.0,0.1796875,0.359375,6,1,5,0.5416666666666666,0.016031751958181763,0.005444474916429687
mcc,mixed,univariate,12,55.0,0.09375,0.1875,6,2,4,0.5833333333333334,0.01820984206033999,0.004094222010908033
mcc,mixed,pairwise,12,31.0,0.662109375,0.73046875,3,3,6,0.375,0.002178090102158229,-0.0007163507944129566
accuracy,pairwise,univariate,12,55.0,0.10888671875,0.2177734375,7,1,4,0.625,0.008883521367286438,0.0037257487088355745
accuracy,mixed,univariate,12,62.0,0.0283203125,0.056640625,7,2,3,0.6666666666666666,0.013401699275378228,0.010372245153606685
accuracy,mixed,pairwise,12,42.0,0.337890625,0.67578125,4,3,5,0.4583333333333333,0.00451817790809179,0.0
