,AUC (%),Accuracy (%),Activation Ratio (RAR),Active Rules per Feature (ARPF),Avg Active Rules,Balanced Accuracy (%),Error Rate (%),F1 Score (%),MCC (%),Precision (%),Recall (%),Time Training (s),Total Rules,Unique Features,Unique Features Utilization (UFU)
adult,91.843,86.236,0.174,0.618,54.426,77.969,13.764,68.426,60.335,76.473,62.024,17.051,312.4,37.4,0.425
breast_cancer,97.069,92.749,0.28,0.436,8.281,92.259,7.251,94.189,84.577,94.19,94.206,0.149,28.4,9.6,0.505
compas,99.927,98.956,0.361,0.071,16.414,98.976,1.044,98.846,97.896,98.515,99.18,13.879,44.6,13.0,0.056
fico,79.367,71.906,0.206,0.888,20.605,71.598,28.094,68.724,43.755,73.496,64.613,8.699,100.0,13.8,0.6
mushroom,97.514,94.881,0.363,0.059,6.6,94.775,5.119,95.175,89.936,92.833,97.704,2.543,18.0,7.6,0.068
spambase,97.475,93.309,0.097,0.483,27.508,92.852,6.691,91.438,85.96,92.197,90.699,13.269,293.8,25.4,0.446
titanic,84.415,79.104,0.349,0.107,12.012,76.062,20.896,69.823,55.207,79.129,62.913,3.675,33.0,7.0,0.062
telco,85.119,80.644,0.356,0.356,17.775,72.346,19.356,59.988,47.787,66.503,54.652,7.521,50.0,16.8,0.336
heart,88.927,81.758,0.5,0.492,6.4,81.205,18.242,83.897,63.323,81.385,86.8,0.095,12.8,6.4,0.492
loan,99.164,95.956,0.317,0.316,4.114,96.004,4.044,96.716,91.656,97.75,95.809,1.73,12.2,5.2,0.4
magic_gamma,90.884,85.559,0.125,1.0,35.188,82.878,14.441,89.194,67.76,86.636,91.908,11.743,280.4,10.0,1.0
german,75.376,73.133,0.619,0.288,17.573,61.952,26.867,41.793,28.367,58.067,34.0,0.703,27.2,19.8,0.325
