,Total Rules,Unique Features,Avg Active Rules,Time Training (s),Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Unique Features Utilization (UFU),Active Rules per Feature (ARPF),Activation Ratio (RAR)
adult,267,33,47.77653802845737,15.78036093711853,86.24219469751255,76.58227848101265,61.73469387755102,68.36158192090396,77.87422303423189,60.26654190444232,13.757805302487458,91.92685905425941,0.375,0.5429152048688337,0.17893834467587028
breast_cancer,20,5,5.0,0.13316726684570312,92.98245614035088,95.23809523809523,93.45794392523365,94.33962264150944,92.82272196261682,85.13723143464529,7.017543859649122,97.85338785046729,0.2631578947368421,0.2631578947368421,0.25
compas,50,14,17.400461893764433,14.893967151641846,99.30715935334872,98.98063200815494,99.48770491803278,99.23352069494123,99.32333101242261,98.60248847749,0.6928406466512715,99.93269933405948,0.0603448275862069,0.07500199092139842,0.34800923787528865
fico,100,15,20.001593371574252,8.918316125869751,72.37093690248567,72.98474945533769,67.0,69.86444212721585,72.14468864468864,44.581584943947824,27.62906309751434,79.63622303622304,0.6521739130434783,0.8696344944162718,0.20001593371574253
mushroom,10,5,4.0,1.9081380367279053,95.24200164068908,91.58810732414794,100.0,95.60938682816048,95.06382978723404,90.8549490010349,4.7579983593109105,98.28116103165378,0.044642857142857144,0.03571428571428571,0.4
spambase,131,15,17.66545981173063,5.101294755935669,91.88993482983345,90.9090909090909,88.23529411764706,89.55223880597015,91.25026354627872,82.95210768326999,8.110065170166546,97.15710432918686,0.2631578947368421,0.3099203475742216,0.13485083825748573
titanic,24,6,8.361940298507463,2.8338959217071533,77.23880597014924,71.875,66.99029126213593,69.34673366834171,75.31332744924978,51.3617694743253,22.76119402985075,83.90408943807002,0.05357142857142857,0.07466018123667377,0.34841417910447764
telco,29,9,9.99810695693327,3.333306074142456,79.36583057264552,64.98800959232614,48.3065953654189,55.419222903885476,69.44968943528677,43.160752148413614,20.634169427354475,83.73733162430858,0.18,0.1999621391386654,0.34476230885976794
heart,22,11,11.0,0.11842799186706543,79.12087912087912,79.24528301886792,84.0,81.55339805825243,78.58536585365854,57.679428419577086,20.879120879120883,87.73170731707317,0.8461538461538461,0.8461538461538461,0.5
loan,8,4,2.6924277907884466,1.4646828174591064,96.79937548790008,98.09160305343512,96.73776662484316,97.40998104864181,96.81929653556207,93.23797845994858,3.2006245120999255,99.46350985617553,0.3076923076923077,0.20710983006064973,0.33655347384855583
magic_gamma,264,10,33.69838766211006,11.580540180206299,85.57658604977217,86.39008348090059,92.29729729729729,89.24604730171176,82.73887796071247,67.7650476191414,14.423413950227825,90.82707957209453,1.0,1.0,0.12764540781102296
german,21,14,13.076666666666666,0.41590213775634766,71.0,52.54237288135594,34.44444444444444,41.61073825503356,60.555555555555564,24.339265407749743,29.000000000000004,74.02380952380952,0.22950819672131148,0.21437158469945355,0.6226984126984126
