,AUC (%),AUC (%),Accuracy (%),Accuracy (%),Activation Ratio (RAR),Activation Ratio (RAR),Active Rules per Feature (ARPF),Active Rules per Feature (ARPF),Avg Active Rules,Avg Active Rules,Balanced Accuracy (%),Balanced Accuracy (%),Error Rate (%),Error Rate (%),F1 Score (%),F1 Score (%),MCC (%),MCC (%),Precision (%),Precision (%),Recall (%),Recall (%),Time Training (s),Time Training (s),Total Rules,Total Rules,Unique Features,Unique Features,Unique Features Utilization (UFU),Unique Features Utilization (UFU)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
adult,91.84253184218274,0.10943888357011793,86.23605282014537,0.16437093918860943,0.1744742073430908,0.007043524464573082,0.6184728594161494,0.06266442889790558,54.42561162862114,5.514469743015689,77.96889545895208,0.9407641761838846,13.763947179854643,0.16437093918861007,68.42555815723719,1.0345817597019644,60.33506824057197,0.7061206448476041,76.47267476604863,1.6951980970544978,62.02380952380952,2.646921860440342,17.05137915611267,1.7214311307444004,312.4,33.92698041382404,37.4,3.9293765408777,0.425,0.0446520061463375
breast_cancer,97.06921728971962,2.4273822103653697,92.74853801169591,3.2370415211925216,0.2797601975954379,0.02331620345496124,0.4358264081255771,0.3073201753568224,8.280701754385964,5.839083331779624,92.25905373831776,3.24956319879243,7.251461988304095,3.2370415211925248,94.18853419427772,2.626678661620797,84.5772731073398,6.85312518715282,94.18958146463773,2.140837860612895,94.2056074766355,3.312157971340066,0.14899039268493652,0.036858784138209096,28.4,18.380424369420854,9.6,7.391887445030531,0.5052631578947369,0.3890467076331859
compas,99.92693439865434,0.03126155151856467,98.95612009237875,0.1767309604592056,0.36115039662616727,0.03349586386166358,0.07075017918292587,0.020646684183431303,16.4140415704388,4.7900307305560625,98.97620262239931,0.1854103734115819,1.0438799076212457,0.1767309604592055,98.84598706220805,0.19592622520331818,97.89609050315998,0.35726216947750195,98.51528848031042,0.2856336171125753,99.18032786885246,0.3665685209016051,13.879481649398803,3.67716966502754,44.6,10.799999999999999,13.0,3.03315017762062,0.0560344827586207,0.013073923179399228
fico,79.36733414733415,0.4119670510996507,71.90567240280434,0.31649991122843146,0.20604780114722754,0.02319644285171887,0.8876437498268075,0.08975091487296157,20.604780114722754,2.3196442851718877,71.59848595848595,0.28318473237576514,28.094327597195665,0.3164999112284309,68.72363533087764,0.6549317088957799,43.755299487748786,0.7132389948339092,73.49625016829836,1.4425990591187154,64.61333333333333,2.1159290053202526,8.699104928970337,2.575195675726862,100.0,0.0,13.8,2.4,0.6,0.10434782608695654
mushroom,97.51356614612287,0.662573809295598,94.88105004101722,0.9095841810948169,0.3628571428571428,0.0152529689314733,0.05892857142857143,0.02082482819587607,6.6,2.33238075793812,94.77534408113071,0.869169393959827,5.118949958982772,0.9095841810948149,95.17522917420692,0.9138150652828905,89.93601821501872,1.9034801294990096,92.83347887725195,1.2467661822635918,97.70387965162311,2.507785639883342,2.542852830886841,0.3037362336309331,18.0,5.513619500836088,7.6,2.33238075793812,0.06785714285714285,0.02082482819587607
spambase,97.47489721695129,0.25017886188068406,93.3091962346126,0.5352561509797669,0.09698141377686412,0.016469881495206017,0.48258952958064966,0.05102481148729573,27.507603186097032,2.908414254775856,92.85225156370792,0.5765477874797978,6.690803765387402,0.535256150979764,91.43754156684352,0.6882168574529117,85.9604787368773,1.1231770312709746,92.19697412016583,0.8696194772434028,90.6985294117647,0.962926533360938,13.26881284713745,3.413274951064422,293.8,62.172019429965445,25.4,3.9293765408777004,0.44561403508771924,0.06893643054171404
titanic,84.41482789055604,0.8012311441127014,79.1044776119403,1.454745424598354,0.3487371099050204,0.041261259385990894,0.1072494669509595,0.051839230730325175,12.011940298507463,5.805993841796419,76.06237128567226,1.115044856379311,20.895522388059703,1.454745424598353,69.82305067495511,1.4705450633557373,55.20716854382929,3.4414243987110242,79.12934449271658,6.101173429601774,62.91262135922331,3.548673181067395,3.6749011516571044,0.9709881566899976,33.0,13.206059215375342,7.0,1.7888543819998317,0.0625,0.0159719141249985
telco,85.11857507764118,0.6836909767031452,80.64363464268813,0.5337575837149754,0.355509701845717,0.01523818253932759,0.355509701845717,0.01523818253932759,17.775485092285848,0.7619091269663795,72.34553310546337,0.6247390235532779,19.35636535731188,0.5337575837149736,59.98816147524508,1.0108884469545971,47.787259143696204,1.3783985500861797,66.50302099824073,1.4691105224418612,54.652406417112296,1.119452297191271,7.521322631835938,0.9335157379909025,50.0,0.0,16.8,1.1661903789690602,0.33599999999999997,0.0233238075793812
heart,88.92682926829268,7.091280433014544,81.75824175824175,6.5419235455548215,0.5,0.0,0.49230769230769234,0.16569737868106166,6.4,2.1540659228538015,81.20487804878049,6.562971860603214,18.24175824175824,6.54192354555482,83.89747571562661,5.816853962919415,63.322648585635626,13.46418453605578,81.38549911786194,5.7275405723156805,86.8,7.4404300950953095,0.0946619987487793,0.003989276825729931,12.8,4.308131845707603,6.4,2.1540659228538015,0.49230769230769234,0.16569737868106166
