min_support,PDO,max_rules,calibrator,final_score
0.005,50,None,isotonic,0.903749159446711
10.0,100,None,isotonic,0.8916487372446681
0.1,10,100.0,isotonic,0.7465238215186185
0.005,100,100.0,isotonic,0.6743432923798744
0.1,100,50.0,isotonic,0.6586562187063485
0.005,10,None,isotonic,0.4219283965654523
0.01,20,None,isotonic,0.41335351503174805
0.01,10,None,isotonic,0.4101148029923008
0.005,100,None,isotonic,0.4064626087457606
50.0,10,None,sigmoid,0.4003882677555223
0.01,30,None,isotonic,0.4002651156463455
0.01,50,None,isotonic,0.3995321163242239
0.01,100,None,isotonic,0.39790794208935154
10.0,10,None,isotonic,0.39488633843110205
0.005,20,None,sigmoid,0.3869347590746196
0.005,30,None,isotonic,0.38656146987816264
10.0,20,None,sigmoid,0.3846865173334481
50.0,10,None,isotonic,0.383539040928593
50.0,50,None,isotonic,0.3788596163383636
50.0,20,None,isotonic,0.37742260710615083
0.005,30,None,sigmoid,0.37717389234976834
0.005,100,None,sigmoid,0.37646421681438297
10.0,50,None,isotonic,0.3756006676530503
0.01,10,None,sigmoid,0.3754971842187621
0.005,20,None,isotonic,0.37545474897997405
10.0,30,None,sigmoid,0.37494199177998216
10.0,100,None,sigmoid,0.3742434792906319
0.005,10,None,sigmoid,0.37185870785573627
10.0,10,None,sigmoid,0.3692675177199158
50.0,50,None,sigmoid,0.36675113037915325
50.0,30,None,isotonic,0.36580789380046613
0.005,50,None,sigmoid,0.36434231543319545
0.01,20,None,sigmoid,0.36431438483072515
50.0,100,None,isotonic,0.36398372053639155
50.0,100,None,sigmoid,0.363948939296341
10.0,20,None,isotonic,0.36260099085715236
10.0,50,None,sigmoid,0.3621744210691838
50.0,20,None,sigmoid,0.3602327509601878
10.0,30,None,isotonic,0.36021606034331255
0.01,50,None,sigmoid,0.3548643873699942
0.01,30,None,sigmoid,0.35460856066508883
0.01,100,None,sigmoid,0.35349185145021483
50.0,30,None,sigmoid,0.35327536123245457
0.05,10,None,isotonic,0.27445545080534284
0.1,30,None,isotonic,0.2438434664162395
0.1,30,100.0,isotonic,0.2329942971057343
0.1,50,100.0,isotonic,0.22942917903743448
0.1,50,None,isotonic,0.2292961335621447
0.1,100,None,isotonic,0.22832838990549126
0.1,100,100.0,isotonic,0.22735141740899018
0.1,10,100.0,sigmoid,0.21906530343594946
0.1,20,100.0,isotonic,0.21607688485878424
0.05,30,None,isotonic,0.21455796027023138
50.0,10,100.0,isotonic,0.2099894363050953
0.01,10,100.0,isotonic,0.2099894363050953
0.005,10,100.0,isotonic,0.2099894363050953
10.0,10,100.0,isotonic,0.2099894363050953
0.05,10,None,sigmoid,0.20717585563834323
0.05,10,100.0,isotonic,0.20644310766042454
0.1,10,None,sigmoid,0.20603425327762936
0.05,50,None,isotonic,0.20452613113035095
0.005,30,100.0,isotonic,0.2039227157884033
10.0,30,100.0,isotonic,0.2039227157884033
50.0,30,100.0,isotonic,0.2039227157884033
0.01,30,100.0,isotonic,0.2039227157884033
50.0,50,50.0,isotonic,0.20335499638774163
0.05,50,50.0,isotonic,0.20335499638774163
10.0,50,50.0,isotonic,0.20335499638774163
0.01,50,50.0,isotonic,0.20335499638774163
0.005,50,50.0,isotonic,0.20335499638774163
10.0,50,100.0,isotonic,0.20308872036465164
0.01,50,100.0,isotonic,0.20308872036465164
0.005,50,100.0,isotonic,0.20308872036465164
50.0,50,100.0,isotonic,0.20308872036465164
0.1,10,None,isotonic,0.20199034672030106
50.0,100,50.0,isotonic,0.20081996058453475
0.01,100,50.0,isotonic,0.20081996058453475
0.05,100,50.0,isotonic,0.20081996058453475
0.005,100,50.0,isotonic,0.20081996058453475
10.0,100,50.0,isotonic,0.20081996058453475
0.05,30,None,sigmoid,0.20053722770390095
0.05,20,None,isotonic,0.19831959630371504
0.05,50,None,sigmoid,0.19796034829316672
0.05,100,None,sigmoid,0.19698527633590857
0.01,30,50.0,isotonic,0.1951279468948634
0.005,30,50.0,isotonic,0.1951279468948634
0.05,30,50.0,isotonic,0.1951279468948634
10.0,30,50.0,isotonic,0.1951279468948634
50.0,30,50.0,isotonic,0.1951279468948634
0.1,20,None,isotonic,0.19469722794284117
0.05,20,None,sigmoid,0.19388665795847126
0.05,30,100.0,isotonic,0.19085964123050836
0.1,30,100.0,sigmoid,0.1881962896244305
0.1,30,None,sigmoid,0.18816766139228497
0.1,50,None,sigmoid,0.1868338221242345
0.1,100,None,sigmoid,0.18594519554151476
0.1,50,100.0,sigmoid,0.18560627918535447
0.05,100,None,isotonic,0.18460605171252462
0.1,20,None,sigmoid,0.18353858968818884
0.1,20,100.0,sigmoid,0.17732750133723402
0.05,100,100.0,sigmoid,0.17648886874001132
0.05,30,100.0,sigmoid,0.17609160565685733
0.01,100,100.0,isotonic,0.1743432923798744
50.0,100,100.0,isotonic,0.1743432923798744
10.0,100,100.0,isotonic,0.1743432923798744
0.05,50,100.0,sigmoid,0.17369784746933167
0.005,10,50.0,isotonic,0.1735298215527655
0.01,10,50.0,isotonic,0.1735298215527655
0.05,10,50.0,isotonic,0.1735298215527655
10.0,10,50.0,isotonic,0.1735298215527655
50.0,10,50.0,isotonic,0.1735298215527655
50.0,10,100.0,sigmoid,0.17349234915344375
0.01,10,100.0,sigmoid,0.17349234915344375
0.005,10,100.0,sigmoid,0.17349234915344375
10.0,10,100.0,sigmoid,0.17349234915344375
0.05,10,100.0,sigmoid,0.1731176328352256
0.1,100,100.0,sigmoid,0.17054800208890653
0.05,20,50.0,isotonic,0.16963113495822998
0.005,20,50.0,isotonic,0.16963113495822998
0.01,20,50.0,isotonic,0.16963113495822998
10.0,20,50.0,isotonic,0.16963113495822998
50.0,20,50.0,isotonic,0.16963113495822998
0.01,20,100.0,isotonic,0.16600164402910603
0.005,20,100.0,isotonic,0.16600164402910603
50.0,20,100.0,isotonic,0.16600164402910603
10.0,20,100.0,isotonic,0.16600164402910603
0.1,30,50.0,isotonic,0.15904255645784987
0.1,50,50.0,isotonic,0.15884755039720114
0.05,20,100.0,sigmoid,0.1575332146892626
10.0,50,100.0,sigmoid,0.1538516865565192
0.005,50,100.0,sigmoid,0.1538516865565192
0.01,50,100.0,sigmoid,0.1538516865565192
50.0,50,100.0,sigmoid,0.1538516865565192
10.0,100,100.0,sigmoid,0.1516266906258175
50.0,100,100.0,sigmoid,0.1516266906258175
0.01,100,100.0,sigmoid,0.1516266906258175
0.005,100,100.0,sigmoid,0.1516266906258175
0.1,20,50.0,isotonic,0.14770032195915125
50.0,30,100.0,sigmoid,0.14335295726909367
10.0,30,100.0,sigmoid,0.14335295726909367
0.01,30,100.0,sigmoid,0.14335295726909367
0.005,30,100.0,sigmoid,0.14335295726909367
0.005,20,100.0,sigmoid,0.14199023858881998
0.01,20,100.0,sigmoid,0.14199023858881998
10.0,20,100.0,sigmoid,0.14199023858881998
50.0,20,100.0,sigmoid,0.14199023858881998
0.05,100,100.0,isotonic,0.13593681798168242
0.05,50,100.0,isotonic,0.13533299612518088
0.1,10,50.0,isotonic,0.126698942740394
0.05,20,100.0,isotonic,0.11977403420305177
0.005,50,50.0,sigmoid,0.11378842268845821
0.05,50,50.0,sigmoid,0.11378842268845821
10.0,50,50.0,sigmoid,0.11378842268845821
50.0,50,50.0,sigmoid,0.11378842268845821
0.01,50,50.0,sigmoid,0.11378842268845821
0.01,10,50.0,sigmoid,0.11204699455418539
10.0,10,50.0,sigmoid,0.11204699455418539
0.005,10,50.0,sigmoid,0.11204699455418539
50.0,10,50.0,sigmoid,0.11204699455418539
0.05,10,50.0,sigmoid,0.11204699455418539
0.005,100,50.0,sigmoid,0.10914832401351204
0.01,100,50.0,sigmoid,0.10914832401351204
10.0,100,50.0,sigmoid,0.10914832401351204
50.0,100,50.0,sigmoid,0.10914832401351204
0.05,100,50.0,sigmoid,0.10914832401351204
50.0,30,50.0,sigmoid,0.1048901014786934
0.005,30,50.0,sigmoid,0.1048901014786934
0.01,30,50.0,sigmoid,0.1048901014786934
0.05,30,50.0,sigmoid,0.1048901014786934
10.0,30,50.0,sigmoid,0.1048901014786934
0.1,10,50.0,sigmoid,0.10388485872124711
0.1,30,50.0,sigmoid,0.09226150585124028
0.1,50,50.0,sigmoid,0.09213069325600474
0.1,100,50.0,sigmoid,0.0912576406715168
0.01,20,50.0,sigmoid,0.08997857700281056
0.005,20,50.0,sigmoid,0.08997857700281056
10.0,20,50.0,sigmoid,0.08997857700281056
0.05,20,50.0,sigmoid,0.08997857700281056
50.0,20,50.0,sigmoid,0.08997857700281056
0.1,20,50.0,sigmoid,0.0648026034711684
